Team
Rajasthan Royals
Royal Challengers Bangalore
Sunrisers Hyderabad
Delhi Capitals
Chennai Super Kings
Gujarat Titans
Lucknow Super Giants
Kolkata Knight Riders
Punjab Kings
Mumbai Indians
